game_id,shooter_id,shooter_name,nearest_defender_id,nearest_defender_name,made,p_base,p_full,lift_vs_baseline,lift_vs_full
0022500564,1626164,Devin Booker,203952,Andrew Wiggins,0,0.386165,0.413139,-0.386165,-0.413139
0022500564,1626220,Royce O'Neale,1631170,Jaime Jaquez Jr.,0,0.523742,0.679446,-0.523742,-0.679446
0022500564,1628960,Grayson Allen,1629639,Tyler Herro,1,0.509998,0.427512,0.490002,0.572488
0022500564,1628960,Grayson Allen,1641796,Pelle Larsson,0,0.497679,0.497474,-0.497679,-0.497474
0022500564,1628415,Dillon Brooks,1629639,Tyler Herro,0,0.497939,0.424680,-0.497939,-0.424680
0022500564,1628960,Grayson Allen,1641796,Pelle Larsson,1,0.461735,0.754936,0.538265,0.245064
0022500564,1630692,Jordan Goodwin,1629639,Tyler Herro,0,0.539145,0.479436,-0.539145,-0.479436
0022500564,1631221,Collin Gillespie,1631170,Jaime Jaquez Jr.,1,0.478200,0.637602,0.521800,0.362398
0022500564,1631221,Collin Gillespie,1630696,Dru Smith,1,0.499749,0.409215,0.500251,0.590785
0022500564,1626220,Royce O'Neale,203952,Andrew Wiggins,1,0.539122,0.535394,0.460878,0.464606
0022500564,1626220,Royce O'Neale,1631170,Jaime Jaquez Jr.,0,0.543490,0.561737,-0.543490,-0.561737
0022500564,1626164,Devin Booker,1628389,Bam Adebayo,0,0.365324,0.280625,-0.365324,-0.280625
0022500564,1628960,Grayson Allen,1631170,Jaime Jaquez Jr.,0,0.405452,0.435203,-0.405452,-0.435203
0022500864,1642263,Reed Sheppard,1641796,Pelle Larsson,1,0.426533,0.406380,0.573467,0.593620
0022500864,201142,Kevin Durant,203952,Andrew Wiggins,1,0.534934,0.435285,0.465066,0.564715
0022500864,201142,Kevin Durant,1642857,Kasparas Jakucionis,0,0.579169,0.514329,-0.579169,-0.514329
0022500864,1642263,Reed Sheppard,1629639,Tyler Herro,0,0.464427,0.350620,-0.464427,-0.350620
0022500864,1641708,Amen Thompson,1631323,Simone Fontecchio,0,0.338488,0.397437,-0.338488,-0.397437
0022500864,1629006,Josh Okogie,1631170,Jaime Jaquez Jr.,0,0.516006,0.519077,-0.516006,-0.519077
0022500864,1642263,Reed Sheppard,1631170,Jaime Jaquez Jr.,0,0.523606,0.513788,-0.523606,-0.513788
0022500864,1627827,Dorian Finney-Smith,1628389,Bam Adebayo,0,0.367816,0.261827,-0.367816,-0.261827
0022500864,1628988,Aaron Holiday,1630696,Dru Smith,1,0.514767,0.452511,0.485233,0.547489
0022500864,1631106,Tari Eason,1631323,Simone Fontecchio,0,0.485571,0.442568,-0.485571,-0.442568
0022500864,1631106,Tari Eason,1631323,Simone Fontecchio,0,0.493568,0.493615,-0.493568,-0.493615
0022500864,1642263,Reed Sheppard,1630558,Davion Mitchell,1,0.483095,0.582842,0.516905,0.417158
0022500864,1642263,Reed Sheppard,1641796,Pelle Larsson,1,0.532998,0.580838,0.467002,0.419162
0022500864,201142,Kevin Durant,1629639,Tyler Herro,1,0.556295,0.401544,0.443705,0.598456
0022500864,1631106,Tari Eason,1631170,Jaime Jaquez Jr.,1,0.540773,0.578216,0.459227,0.421784
0022500864,201142,Kevin Durant,1631170,Jaime Jaquez Jr.,0,0.494276,0.534929,-0.494276,-0.534929
0022500864,1642263,Reed Sheppard,1641796,Pelle Larsson,0,0.457822,0.461746,-0.457822,-0.461746
0022500864,1631106,Tari Eason,1642857,Kasparas Jakucionis,1,0.498476,0.440293,0.501524,0.559707
0022500864,1630578,Alperen Sengun,1642276,Kel'el Ware,0,0.345116,0.382906,-0.345116,-0.382906
0022500864,1631106,Tari Eason,203952,Andrew Wiggins,0,0.511260,0.515044,-0.511260,-0.515044
0022500886,1629008,Michael Porter Jr.,1629639,Tyler Herro,0,0.470111,0.368272,-0.470111,-0.368272
0022500886,1642849,Nolan Traore,1628389,Bam Adebayo,1,0.366675,0.309213,0.633325,0.690787
0022500886,1629008,Michael Porter Jr.,203952,Andrew Wiggins,0,0.443845,0.403217,-0.443845,-0.403217
0022500886,1642879,Ben Saraf,203952,Andrew Wiggins,0,0.200162,0.302913,-0.200162,-0.302913
0022500886,1630533,Ziaire Williams,1630558,Davion Mitchell,0,0.454880,0.487924,-0.454880,-0.487924
0022500886,1641730,Noah Clowney,1631170,Jaime Jaquez Jr.,0,0.438777,0.526782,-0.438777,-0.526782
0022500886,1642874,Danny Wolf,1642276,Kel'el Ware,1,0.364468,0.323702,0.635532,0.676298
0022500886,1631169,Josh Minott,1631323,Simone Fontecchio,0,0.580547,0.565903,-0.580547,-0.565903
0022500886,1629008,Michael Porter Jr.,203952,Andrew Wiggins,0,0.403264,0.385418,-0.403264,-0.385418
0022500886,1641730,Noah Clowney,1628389,Bam Adebayo,0,0.434632,0.380523,-0.434632,-0.380523
0022500886,1642849,Nolan Traore,1630558,Davion Mitchell,1,0.375112,0.410962,0.624888,0.589038
0022500886,1629611,Terance Mann,1630558,Davion Mitchell,0,0.470091,0.548823,-0.470091,-0.548823
0022500886,1630533,Ziaire Williams,203952,Andrew Wiggins,1,0.421369,0.388846,0.578631,0.611154
0022500886,1630533,Ziaire Williams,1629639,Tyler Herro,0,0.442520,0.529883,-0.442520,-0.529883
0022500886,1630533,Ziaire Williams,1631170,Jaime Jaquez Jr.,1,0.433905,0.499879,0.566095,0.500121
0022500886,1642849,Nolan Traore,1642857,Kasparas Jakucionis,0,0.353816,0.283097,-0.353816,-0.283097
0022500886,1641730,Noah Clowney,1642857,Kasparas Jakucionis,0,0.428487,0.277914,-0.428487,-0.277914
0022500886,1629008,Michael Porter Jr.,1642857,Kasparas Jakucionis,0,0.430989,0.404323,-0.430989,-0.404323
0022500886,1641730,Noah Clowney,1642857,Kasparas Jakucionis,1,0.446424,0.599879,0.553576,0.400121
0022500886,1629008,Michael Porter Jr.,1642857,Kasparas Jakucionis,0,0.416868,0.249325,-0.416868,-0.249325
0022500886,1642879,Ben Saraf,1642066,Myron Gardner,0,0.216686,0.225338,-0.216686,-0.225338
0022500886,1630592,Jalen Wilson,1642443,Jahmir Young,0,0.481151,0.328047,-0.481151,-0.328047
0022500901,1629611,Terance Mann,1629639,Tyler Herro,1,0.469258,0.488682,0.530742,0.511318
0022500901,1629008,Michael Porter Jr.,1628389,Bam Adebayo,0,0.407628,0.389048,-0.407628,-0.389048
0022500901,1641730,Noah Clowney,1631170,Jaime Jaquez Jr.,1,0.417419,0.410155,0.582581,0.589845
0022500901,1629008,Michael Porter Jr.,1629639,Tyler Herro,1,0.443327,0.618680,0.556673,0.381320
0022500901,1642849,Nolan Traore,1631170,Jaime Jaquez Jr.,1,0.408940,0.462120,0.591060,0.537880
0022500901,1642874,Danny Wolf,1628389,Bam Adebayo,0,0.364752,0.294703,-0.364752,-0.294703
0022500901,1630534,Ochai Agbaji,1630696,Dru Smith,0,0.367780,0.298357,-0.367780,-0.298357
0022500901,1642874,Danny Wolf,1628389,Bam Adebayo,0,0.382922,0.396134,-0.382922,-0.396134
0022500901,1629008,Michael Porter Jr.,1630696,Dru Smith,0,0.435393,0.443749,-0.435393,-0.443749
0022500901,1629008,Michael Porter Jr.,1642857,Kasparas Jakucionis,1,0.453584,0.381753,0.546416,0.618247
0022500901,1641730,Noah Clowney,1630558,Davion Mitchell,1,0.450860,0.718943,0.549140,0.281057
0022500901,1629008,Michael Porter Jr.,1629639,Tyler Herro,0,0.447876,0.381558,-0.447876,-0.381558
0022500901,1629008,Michael Porter Jr.,203952,Andrew Wiggins,1,0.465312,0.468361,0.534688,0.531639
0022500901,1641730,Noah Clowney,1630558,Davion Mitchell,1,0.441500,0.450733,0.558500,0.549267
0022500901,1629008,Michael Porter Jr.,1630558,Davion Mitchell,1,0.466544,0.479398,0.533456,0.520602
0022500901,1629008,Michael Porter Jr.,203952,Andrew Wiggins,0,0.388274,0.387978,-0.388274,-0.387978
0022500901,1641730,Noah Clowney,1641796,Pelle Larsson,1,0.399758,0.422397,0.600242,0.577603
0022500901,1629008,Michael Porter Jr.,203952,Andrew Wiggins,0,0.437112,0.393227,-0.437112,-0.393227
0022500901,1629008,Michael Porter Jr.,203952,Andrew Wiggins,1,0.460316,0.492191,0.539684,0.507809
0022500901,1629611,Terance Mann,1629639,Tyler Herro,0,0.550891,0.717908,-0.550891,-0.717908
0022500901,1629008,Michael Porter Jr.,203952,Andrew Wiggins,1,0.370752,0.363985,0.629248,0.636015
0022500901,1630533,Ziaire Williams,203952,Andrew Wiggins,0,0.437966,0.631560,-0.437966,-0.631560
0022500901,1630533,Ziaire Williams,1631170,Jaime Jaquez Jr.,0,0.462903,0.600525,-0.462903,-0.600525
0022500901,1630533,Ziaire Williams,1641796,Pelle Larsson,1,0.483406,0.591928,0.516594,0.408072
0022500901,1629008,Michael Porter Jr.,1630696,Dru Smith,0,0.459385,0.478613,-0.459385,-0.478613
0022500901,1641730,Noah Clowney,1642857,Kasparas Jakucionis,0,0.489686,0.478260,-0.489686,-0.478260
0022500901,1641730,Noah Clowney,1631170,Jaime Jaquez Jr.,1,0.399688,0.451454,0.600312,0.548546
