unmatched_type,game_file,game_id,opponent,period,shooter_id,shooter_name,release_frame,release_game_clock,release_shot_clock,contest_distance_ft,shot_contest_quality,pbp_shot_result,pbp_conclusion_game_clock,pbp_description
pbp_only,nba_game_0022500901_processed.parquet,0022500901,Nets,4,1630534,Ochai Agbaji,NA,NA,NA,NA,NA,Missed,0:52,MISS O. Agbaji 26' 3PT
tracking_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,1,1628378,Donovan Mitchell,83885,1:15,5,11.531,7.1,NA,NA,NA
tracking_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,2,1631165,Keon Ellis,191051,1:35,15,6.862,55.98,NA,NA,NA
tracking_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,3,203471,Dennis Schroder,270525,5:38,23,8.392,12.54,NA,NA,NA
tracking_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,4,201935,James Harden,356971,7:58,14,6.151,58.47,NA,NA,NA
pbp_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,1,1630241,Sam Merrill,NA,NA,NA,NA,NA,Missed,10:28,MISS S. Merrill 25' 3PT
pbp_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,1,1628378,Donovan Mitchell,NA,NA,NA,NA,NA,Missed,9:09,MISS D. Mitchell 30' pullup 3PT
pbp_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,1,1628418,T. Bryant,NA,NA,NA,NA,NA,Missed,2:48,MISS T. Bryant 25' 3PT
pbp_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,2,1630241,Sam Merrill,NA,NA,NA,NA,NA,Missed,6:47,MISS S. Merrill 27' 3PT
pbp_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,2,1630241,Sam Merrill,NA,NA,NA,NA,NA,Missed,5:08,MISS S. Merrill 26' step back 3PT
pbp_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,3,1630241,Sam Merrill,NA,NA,NA,NA,NA,Made,8:23,S. Merrill 24' 3PT  (13 PTS) (D. Mitchell 3 AST)
pbp_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,3,201935,James Harden,NA,NA,NA,NA,NA,Missed,7:43,MISS J. Harden 24' running 3PT
pbp_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,3,1628378,Donovan Mitchell,NA,NA,NA,NA,NA,Missed,3:25,MISS D. Mitchell 3PT
pbp_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,4,1628378,Donovan Mitchell,NA,NA,NA,NA,NA,Missed,11:00,MISS D. Mitchell 24' step back 3PT
pbp_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,4,203471,Dennis Schroder,NA,NA,NA,NA,NA,Missed,6:46,MISS D. Schröder 25' 3PT
pbp_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,4,1631165,Keon Ellis,NA,NA,NA,NA,NA,Missed,4:38,MISS K. Ellis 24' 3PT
pbp_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,4,201935,James Harden,NA,NA,NA,NA,NA,Missed,3:24,MISS J. Harden 25' 3PT
tracking_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,1,1629614,Andrew Nembhard,3867,10:59,18,5.166,37.98,NA,NA,NA
tracking_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,2,1629614,Andrew Nembhard,198419,1:51,19,5.718,31.7,NA,NA,NA
tracking_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,3,1627783,Pascal Siakam,222913,10:21,5,5.086,37.66,NA,NA,NA
tracking_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,3,1629614,Andrew Nembhard,266144,5:04,10,4.402,54.23,NA,NA,NA
tracking_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,4,1641771,Jalen Slawson,346876,6:25,17,10.95,30.97,NA,NA,NA
tracking_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,4,1630643,Jay Huff,376652,3:24,10,7.846,52.54,NA,NA,NA
pbp_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,1,1627783,Pascal Siakam,NA,NA,NA,NA,NA,Missed,11:39,MISS P. Siakam 24' 3PT
pbp_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,1,1641767,Ben Sheppard,NA,NA,NA,NA,NA,Missed,1:52,MISS B. Sheppard 24' 3PT
pbp_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,3,1627783,Pascal Siakam,NA,NA,NA,NA,NA,Missed,8:38,MISS P. Siakam 25' 3PT
pbp_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,4,1630643,Jay Huff,NA,NA,NA,NA,NA,Missed,10:48,MISS J. Huff 25' 3PT
pbp_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,4,1641738,Kobe Brown,NA,NA,NA,NA,NA,Missed,10:27,MISS K. Brown 26' 3PT
pbp_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,4,1641738,Kobe Brown,NA,NA,NA,NA,NA,Missed,3:54,MISS K. Brown 3PT
pbp_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,4,1627783,Pascal Siakam,NA,NA,NA,NA,NA,Missed,1:00,MISS P. Siakam 3PT
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,1,202331,Paul George,27275,7:06,20,10.1,15.0,NA,NA,NA
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,1,202331,Paul George,32789,5:35,19,8.576,13.51,NA,NA,NA
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,1,1630178,Tyrese Maxey,82287,1:37,21,11.818,4.36,NA,NA,NA
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,2,1630178,Tyrese Maxey,111051,11:48,12,6.233,54.52,NA,NA,NA
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,2,1630178,Tyrese Maxey,117022,10:08,16,9.171,13.28,NA,NA,NA
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,4,1630178,Tyrese Maxey,423835,4:09,11,7.781,32.89,NA,NA,NA
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,4,1642845,VJ Edgecombe,451444,55.6,17,7.533,33.78,NA,NA,NA
pbp_only,nba_game_0022501091_processed.parquet,0022501091,76ers,1,202331,Paul George,NA,NA,NA,NA,NA,Missed,10:23,MISS P. George 3PT
pbp_only,nba_game_0022501091_processed.parquet,0022501091,76ers,1,1642845,VJ Edgecombe,NA,NA,NA,NA,NA,Missed,4:59,MISS V. Edgecombe 26' 3PT
pbp_only,nba_game_0022501091_processed.parquet,0022501091,76ers,3,203954,Joel Embiid,NA,NA,NA,NA,NA,Missed,10:45,MISS J. Embiid 35' 3PT
